episode,step,total_queue,avg_latency
8,34,0,5.482758620689655
9,0,0,0
9,1,0,0
9,2,0,2.0
9,3,0,2.0
9,4,0,2.0
9,5,0,2.0
9,6,0,2.25
9,7,0,2.2
9,8,0,2.2
9,9,0,2.2
9,10,0,2.1666666666666665
9,11,0,2.1666666666666665
9,12,0,2.375
9,13,0,2.375
9,14,0,2.5
9,15,1,2.6363636363636362
9,16,0,2.6666666666666665
9,17,0,2.642857142857143
9,18,1,2.7333333333333334
9,19,1,2.75
9,20,0,2.75
9,21,0,2.823529411764706
9,22,2,2.7777777777777777
9,23,1,2.8947368421052633
9,24,1,2.857142857142857
9,25,0,3.0
9,26,0,2.9565217391304346
9,27,0,3.1666666666666665
9,28,0,3.1666666666666665
9,29,0,3.16
9,30,0,3.1923076923076925
9,31,0,3.1923076923076925
9,32,0,3.1923076923076925
9,33,0,3.259259259259259
9,34,0,3.259259259259259
10,0,0,0
10,1,0,0
10,2,0,2.0
10,3,1,2.0
10,4,0,2.25
10,5,0,2.25
10,6,0,2.6
10,7,0,2.6666666666666665
10,8,0,2.6666666666666665
10,9,0,2.625
10,10,0,2.625
10,11,0,2.6666666666666665
10,12,0,2.7
10,13,0,2.7
10,14,0,2.6363636363636362
10,15,0,2.6363636363636362
10,16,0,2.6153846153846154
10,17,0,2.6153846153846154
10,18,0,2.6
10,19,0,2.6
10,20,0,2.6
10,21,0,2.6
10,22,0,2.6875
10,23,0,2.6470588235294117
10,24,0,2.7777777777777777
10,25,0,2.761904761904762
10,26,0,2.727272727272727
10,27,0,2.652173913043478
10,28,1,2.7916666666666665
10,29,1,2.8
10,30,2,2.8
10,31,1,2.8461538461538463
10,32,2,2.8461538461538463
10,33,1,2.925925925925926
10,34,1,2.925925925925926
11,0,0,0
11,1,0,0
11,2,0,0
11,3,0,3.0
11,4,0,3.0
11,5,0,3.0
11,6,0,2.8
11,7,0,3.3333333333333335
11,8,0,3.3333333333333335
11,9,0,3.5714285714285716
11,10,0,3.5714285714285716
11,11,0,3.5714285714285716
11,12,0,3.6666666666666665
11,13,1,3.7
11,14,2,3.9166666666666665
11,15,3,3.9166666666666665
11,16,3,3.923076923076923
11,17,3,3.857142857142857
11,18,3,3.933333333333333
11,19,4,3.933333333333333
11,20,0,4.125
11,21,0,4.125
11,22,2,4.352941176470588
11,23,1,4.421052631578948
11,24,1,4.421052631578948
11,25,0,4.5
11,26,0,4.5
11,27,0,4.695652173913044
11,28,0,4.695652173913044
11,29,0,4.625
11,30,0,4.625
11,31,0,4.461538461538462
11,32,0,4.461538461538462
11,33,0,4.37037037037037
11,34,0,4.37037037037037
12,0,0,0
12,1,0,0
12,2,0,2.0
12,3,0,1.5
12,4,0,2.0
12,5,0,2.0
12,6,0,2.0
12,7,0,2.5
12,8,0,2.5
12,9,0,2.6
12,10,0,3.1666666666666665
12,11,0,3.2857142857142856
12,12,0,3.2857142857142856
12,13,0,3.875
12,14,0,4.111111111111111
12,15,0,4.111111111111111
12,16,0,3.8
12,17,0,4.666666666666667
12,18,0,4.666666666666667
12,19,0,4.666666666666667
12,20,0,4.666666666666667
12,21,0,5.714285714285714
12,22,0,5.714285714285714
12,23,0,6.0
12,24,0,6.0
12,25,0,6.6875
12,26,0,7.0
12,27,0,7.388888888888889
12,28,0,7.388888888888889
12,29,0,7.4
12,30,0,7.809523809523809
