episode,completion_rate,episode_reward,agent_epsilon,jain_index,v1_completion,v2_completion
0,0.44642857142857145,-123.68000000000002,0.9091562615825302,0.9896306295250951,0.49122807017543857,0.4
1,0.38524590163934425,-176.70666666666668,0.7183288830986236,0.9990332276283308,0.3968253968253968,0.3728813559322034
2,0.504950495049505,-106.36666666666667,0.5562889678716474,0.9665166518977043,0.6136363636363636,0.42105263157894735
3,0.36752136752136755,-318.1666666666666,0.4484282034609769,0.9931631377599336,0.3387096774193548,0.4
4,0.3894736842105263,-131.55999999999997,0.37251769488706843,0.9633536509211483,0.47619047619047616,0.32075471698113206
5,0.4107142857142857,-154.24,0.29580711868545667,0.9810284991653113,0.46551724137931033,0.35185185185185186
6,0.3879310344827586,-149.88,0.23607350863684065,0.9999057492931197,0.38461538461538464,0.39215686274509803
7,0.36363636363636365,-227.31999999999996,0.19318370215794672,0.9979155132506655,0.3793103448275862,0.34615384615384615
8,0.32,-267.73333333333323,0.16455423674261854,0.9795084214052937,0.27450980392156865,0.3673469387755102
9,0.4036697247706422,-150.16666666666669,0.13198501352907185,0.9979002183772886,0.4230769230769231,0.38596491228070173
10,0.384,-189.50666666666666,0.10376060541355137,0.9994243315850071,0.375,0.39344262295081966
11,0.35537190082644626,-172.7,0.08364210790237678,0.9993942723714032,0.34782608695652173,0.36538461538461536
12,0.44642857142857145,-97.55333333333334,0.06509970288011008,0.9999125380575893,0.45098039215686275,0.4426229508196721
13,0.3821138211382114,-193.11333333333337,0.05143559895690903,0.9992451920070747,0.37037037037037035,0.391304347826087
14,0.42990654205607476,-115.62,0.04084374120782771,0.9949238578680202,0.4,0.46153846153846156
15,0.4411764705882353,-81.04,0.032595988006089364,0.9849754541759168,0.4909090909090909,0.3829787234042553
16,0.47474747474747475,-80.3,0.025754252208694463,0.9979002183772887,0.45614035087719296,0.5
17,0.5116279069767442,-54.65999999999999,0.020656869087560238,0.9940134684741918,0.5625,0.48148148148148145
18,0.38016528925619836,-181.7133333333333,0.0164031105360144,0.998402555910543,0.36363636363636365,0.3939393939393939
19,0.4017857142857143,-174.34666666666666,0.013090759526015528,0.9941176470588236,0.4375,0.375
20,0.3492063492063492,-214.7533333333333,0.010499784796482848,0.9966906731174061,0.36764705882352944,0.3275862068965517
21,0.3963963963963964,-151.01333333333332,0.00998645168764533,0.9987229752096235,0.38333333333333336,0.4117647058823529
22,0.375,-189.2466666666666,0.00998645168764533,0.993126685407733,0.4074074074074074,0.3448275862068966
23,0.41509433962264153,-146.09333333333333,0.00998645168764533,0.9985780305723426,0.4,0.43137254901960786
24,0.3978494623655914,-107.44666666666667,0.00998645168764533,0.9985755542863848,0.3829787234042553,0.41304347826086957
25,0.41,-124.73333333333333,0.00998645168764533,0.9923401251341759,0.3793103448275862,0.4523809523809524
26,0.35537190082644626,-239.25333333333327,0.00998645168764533,0.9976992399319478,0.3728813559322034,0.3387096774193548
27,0.4107142857142857,-182.51333333333335,0.00998645168764533,0.9832713754646838,0.4642857142857143,0.35714285714285715
