episode,step,total_queue,avg_latency
8,27,0,7.434782608695652
8,28,0,7.6
8,29,0,8.0
8,30,0,8.333333333333334
8,31,0,8.333333333333334
8,32,0,8.333333333333334
8,33,0,8.833333333333334
8,34,0,8.833333333333334
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,3.0
9,4,0,3.0
9,5,0,3.0
9,6,0,4.333333333333333
9,7,0,3.75
9,8,1,4.333333333333333
9,9,0,4.142857142857143
9,10,0,4.666666666666667
9,11,0,4.6
9,12,0,4.6
9,13,0,5.0
9,14,0,5.416666666666667
9,15,0,5.416666666666667
9,16,0,5.846153846153846
9,17,0,5.846153846153846
9,18,0,6.428571428571429
9,19,0,6.428571428571429
9,20,0,7.0588235294117645
9,21,0,7.0588235294117645
9,22,0,7.444444444444445
9,23,0,7.65
9,24,0,8.0
9,25,0,8.0
9,26,0,8.545454545454545
9,27,0,8.545454545454545
9,28,0,8.869565217391305
9,29,0,8.541666666666666
9,30,0,9.16
9,31,0,9.16
9,32,0,10.037037037037036
9,33,0,9.75
9,34,2,9.75
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,2.3333333333333335
10,4,0,2.3333333333333335
10,5,0,2.3333333333333335
10,6,2,3.0
10,7,2,2.857142857142857
10,8,2,2.875
10,9,1,3.111111111111111
10,10,1,3.5454545454545454
10,11,0,3.8333333333333335
10,12,1,4.0
10,13,0,4.333333333333333
10,14,1,4.5625
10,15,0,4.611111111111111
10,16,0,4.611111111111111
10,17,0,4.85
10,18,0,4.85
10,19,0,5.0
10,20,0,5.3478260869565215
10,21,0,5.208333333333333
10,22,0,5.56
10,23,0,5.846153846153846
10,24,0,6.222222222222222
10,25,0,6.222222222222222
10,26,0,6.896551724137931
10,27,0,6.896551724137931
10,28,0,6.896551724137931
10,29,0,6.896551724137931
10,30,0,7.645161290322581
10,31,0,7.46875
10,32,0,7.46875
10,33,0,7.818181818181818
10,34,0,8.117647058823529
11,0,0,0
11,1,0,0
11,2,0,2.0
11,3,0,2.5
11,4,0,2.5
11,5,0,2.5
11,6,0,3.3333333333333335
11,7,0,4.25
11,8,0,4.8
11,9,0,4.8
11,10,0,5.125
11,11,0,5.125
11,12,0,5.125
11,13,0,5.9
11,14,0,5.9
11,15,0,6.090909090909091
11,16,0,6.666666666666667
11,17,0,6.666666666666667
11,18,0,6.666666666666667
11,19,0,7.714285714285714
11,20,0,7.333333333333333
11,21,0,7.9375
11,22,0,7.333333333333333
11,23,0,7.857142857142857
11,24,0,7.857142857142857
11,25,0,7.636363636363637
11,26,0,7.636363636363637
11,27,0,8.28
11,28,0,8.28
11,29,0,8.481481481481481
11,30,0,8.724137931034482
11,31,0,9.133333333333333
11,32,0,9.451612903225806
11,33,0,9.451612903225806
11,34,1,9.8125
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,3.0
12,4,0,3.5
12,5,0,3.5
12,6,0,3.5
12,7,0,4.4
12,8,0,4.4
12,9,0,4.714285714285714
12,10,0,4.714285714285714
12,11,0,4.714285714285714
12,12,0,5.1
12,13,0,5.1
12,14,0,5.1
12,15,0,5.7272727272727275
12,16,0,6.083333333333333
12,17,0,6.083333333333333
12,18,0,6.6923076923076925
12,19,0,6.8
12,20,0,6.4375
12,21,1,7.0588235294117645
12,22,1,6.578947368421052
12,23,1,7.363636363636363
12,24,2,7.363636363636363
12,25,2,7.217391304347826
12,26,4,7.44
12,27,3,7.814814814814815
12,28,3,7.814814814814815
12,29,4,7.714285714285714
12,30,5,8.10344827586207
12,31,5,8.580645161290322
12,32,4,8.53125
12,33,4,8.757575757575758
12,34,3,9.257142857142858
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,2.0
13,4,0,2.0
13,5,0,2.5
13,6,0,2.5
13,7,0,2.5
13,8,0,2.5
13,9,0,3.5
13,10,0,3.5
13,11,0,3.5
13,12,0,4.5
13,13,0,4.5
13,14,0,4.222222222222222
13,15,0,4.222222222222222
13,16,0,5.363636363636363
13,17,0,5.083333333333333
13,18,0,5.538461538461538
13,19,0,5.933333333333334
13,20,0,5.933333333333334
13,21,0,5.933333333333334
13,22,0,6.4375
13,23,0,7.0588235294117645
13,24,0,7.5
13,25,1,7.2105263157894735
13,26,2,6.95
13,27,1,7.363636363636363
13,28,0,7.708333333333333
13,29,2,7.708333333333333
13,30,3,8.153846153846153
13,31,4,7.962962962962963
13,32,4,8.275862068965518
13,33,5,8.64516129032258
13,34,7,8.64516129032258
14,0,0,0
14,1,0,0
14,2,0,2.0
14,3,0,2.5
14,4,0,2.3333333333333335
14,5,0,2.3333333333333335
14,6,0,2.0
14,7,0,2.0
14,8,0,2.6666666666666665
14,9,0,2.6666666666666665
14,10,0,2.5714285714285716
14,11,0,2.5714285714285716
14,12,0,3.4
14,13,0,3.4
14,14,0,3.4166666666666665
14,15,0,3.6923076923076925
14,16,0,3.6923076923076925
14,17,0,3.857142857142857
14,18,0,4.0625
14,19,0,4.0625
14,20,0,4.0625
14,21,0,4.777777777777778
14,22,0,4.777777777777778
14,23,0,5.190476190476191
14,24,0,5.190476190476191
14,25,0,5.454545454545454
14,26,1,5.826086956521739
14,27,3,5.666666666666667
14,28,4,6.0
14,29,3,6.296296296296297
14,30,3,6.296296296296297
14,31,3,6.25
14,32,3,6.620689655172414
14,33,2,7.032258064516129
14,34,2,7.375
15,0,0,0
15,1,0,0
15,2,0,2.0
15,3,0,2.0
15,4,0,2.0
15,5,0,2.0
15,6,0,3.3333333333333335
15,7,0,3.5
15,8,0,3.5
15,9,0,3.5
15,10,0,4.6
15,11,0,5.0
15,12,0,5.714285714285714
15,13,0,6.0
15,14,0,6.666666666666667
15,15,0,6.666666666666667
15,16,0,6.666666666666667
15,17,0,7.1
15,18,0,7.818181818181818
15,19,0,7.818181818181818
15,20,0,8.333333333333334
15,21,0,8.333333333333334
15,22,0,9.153846153846153
15,23,0,9.642857142857142
15,24,0,9.642857142857142
15,25,0,10.133333333333333
15,26,0,10.875
15,27,0,10.875
15,28,0,10.352941176470589
15,29,0,11.631578947368421
15,30,1,11.15
15,31,2,11.15
15,32,1,11.869565217391305
15,33,1,11.869565217391305
15,34,0,12.2
16,0,0,0
16,1,0,0
16,2,0,0
16,3,0,0
16,4,0,4.0
16,5,0,4.0
16,6,0,3.5
16,7,0,3.5
16,8,0,5.0
16,9,0,4.25
16,10,0,5.166666666666667
16,11,0,5.166666666666667
16,12,0,5.166666666666667
16,13,0,5.166666666666667
16,14,0,6.375
16,15,0,6.375
16,16,0,7.0
16,17,0,7.4
16,18,0,7.4
16,19,0,7.818181818181818
16,20,0,8.416666666666666
16,21,0,8.416666666666666
16,22,0,8.285714285714286
16,23,0,8.285714285714286
16,24,0,8.058823529411764
16,25,0,8.058823529411764
16,26,0,8.7
16,27,0,8.333333333333334
16,28,1,8.863636363636363
16,29,0,8.608695652173912
16,30,1,8.72
16,31,1,9.153846153846153
16,32,0,8.925925925925926
16,33,0,8.925925925925926
16,34,0,9.666666666666666
17,0,0,0
17,1,0,0
17,2,0,0
17,3,0,3.0
17,4,0,3.0
17,5,0,3.3333333333333335
17,6,0,3.3333333333333335
17,7,0,4.2
17,8,0,4.2
17,9,0,4.428571428571429
17,10,0,4.75
17,11,0,4.75
17,12,0,5.222222222222222
17,13,0,5.6
17,14,0,5.6
17,15,0,5.2727272727272725
17,16,0,5.916666666666667
17,17,0,6.384615384615385
17,18,0,6.384615384615385
17,19,0,7.4
17,20,0,7.4
17,21,0,7.4
17,22,0,8.352941176470589
17,23,1,8.352941176470589
17,24,0,8.0
17,25,1,8.3
17,26,1,8.454545454545455
17,27,2,8.541666666666666
17,28,3,8.541666666666666
17,29,3,8.4
17,30,4,8.807692307692308
17,31,4,9.071428571428571
17,32,6,9.071428571428571
17,33,7,9.774193548387096
17,34,8,9.774193548387096
18,0,0,0
18,1,0,0
18,2,0,0
18,3,0,0
18,4,0,4.0
18,5,0,4.0
18,6,0,4.0
18,7,0,4.0
18,8,0,4.0
18,9,0,4.0
18,10,0,4.142857142857143
18,11,0,4.142857142857143
18,12,0,4.75
18,13,0,5.111111111111111
18,14,0,5.111111111111111
18,15,0,5.111111111111111
18,16,0,5.8
18,17,0,6.2727272727272725
18,18,0,6.2727272727272725
18,19,0,7.0
18,20,0,7.538461538461538
18,21,0,7.538461538461538
18,22,0,7.538461538461538
18,23,0,8.8
18,24,0,8.8
18,25,0,9.3125
18,26,0,8.882352941176471
18,27,1,9.555555555555555
18,28,2,9.75
18,29,2,9.428571428571429
18,30,2,10.521739130434783
18,31,1,10.25
18,32,1,10.25
18,33,0,10.653846153846153
18,34,0,11.0
19,0,0,0
19,1,0,0
19,2,0,0
19,3,0,3.0
19,4,0,3.0
19,5,0,3.0
19,6,0,3.3333333333333335
19,7,0,3.3333333333333335
19,8,0,3.75
19,9,0,4.2
19,10,0,4.333333333333333
19,11,0,4.333333333333333
19,12,0,4.857142857142857
19,13,0,5.0
19,14,0,5.0
19,15,0,5.0
19,16,0,5.3
19,17,0,5.454545454545454
19,18,0,5.454545454545454
19,19,0,5.454545454545454
19,20,0,5.923076923076923
19,21,0,6.142857142857143
19,22,0,5.866666666666666
19,23,0,6.705882352941177
19,24,0,6.5
19,25,0,6.5
19,26,0,6.5
19,27,0,7.55
19,28,0,7.285714285714286
19,29,0,7.285714285714286
19,30,0,7.285714285714286
19,31,0,8.083333333333334
19,32,0,8.083333333333334
19,33,0,8.76
19,34,0,9.115384615384615
20,0,0,0
20,1,0,0
20,2,0,0
20,3,0,3.0
20,4,0,3.0
20,5,0,3.5
20,6,0,3.5
20,7,0,3.5
20,8,0,3.3333333333333335
20,9,0,4.25
20,10,0,4.25
20,11,0,4.25
20,12,0,5.166666666666667
20,13,0,5.166666666666667
20,14,0,5.166666666666667
20,15,0,5.571428571428571
20,16,0,6.5
20,17,0,6.5
20,18,0,6.777777777777778
20,19,0,7.5
20,20,0,7.5
20,21,0,7.5
20,22,0,8.75
20,23,0,8.23076923076923
20,24,1,8.23076923076923
20,25,2,7.857142857142857
20,26,2,9.125
20,27,1,8.823529411764707
20,28,1,8.823529411764707
20,29,0,9.105263157894736
20,30,0,9.85
20,31,0,9.714285714285714
20,32,0,10.227272727272727
20,33,0,10.91304347826087
20,34,0,10.5
21,0,0,0
21,1,0,0
21,2,0,0
21,3,0,0
21,4,0,3.5
21,5,0,3.5
21,6,0,3.5
21,7,0,3.5
21,8,0,3.5
21,9,0,3.2
21,10,0,4.428571428571429
21,11,0,4.125
21,12,0,4.125
21,13,0,5.1
21,14,0,5.1
21,15,0,5.1
21,16,0,5.818181818181818
21,17,0,6.333333333333333
21,18,0,6.333333333333333
21,19,0,7.214285714285714
21,20,0,6.866666666666666
21,21,0,6.866666666666666
21,22,0,7.4375
21,23,0,7.882352941176471
21,24,0,8.38888888888889
21,25,0,8.38888888888889
21,26,0,8.947368421052632
21,27,0,9.3
21,28,1,9.3
21,29,3,9.5
21,30,5,9.5
21,31,5,9.666666666666666
21,32,6,10.2
21,33,6,10.333333333333334
21,34,6,10.785714285714286
22,0,0,0
22,1,0,0
22,2,0,2.0
22,3,0,2.5
22,4,0,3.0
22,5,0,3.0
22,6,0,3.0
22,7,0,4.0
22,8,0,4.6
22,9,0,4.6
22,10,0,5.333333333333333
22,11,0,6.0
22,12,0,5.5
22,13,0,5.5
22,14,0,6.111111111111111
22,15,0,6.9
22,16,0,6.9
22,17,0,7.363636363636363
22,18,0,8.083333333333334
22,19,0,8.083333333333334
22,20,0,9.285714285714286
22,21,0,9.285714285714286
22,22,0,9.285714285714286
22,23,0,9.285714285714286
22,24,0,10.5
22,25,0,10.5
22,26,1,10.5
22,27,1,10.555555555555555
22,28,2,11.31578947368421
22,29,1,11.428571428571429
22,30,2,11.428571428571429
22,31,1,11.136363636363637
22,32,0,12.08
22,33,0,12.08
22,34,1,11.807692307692308
23,0,0,0
23,1,0,0
23,2,0,0
23,3,0,3.0
23,4,0,2.5
23,5,0,3.0
23,6,0,3.0
23,7,0,3.5
23,8,0,3.8
23,9,0,4.333333333333333
23,10,0,4.333333333333333
23,11,0,4.875
23,12,0,4.875
23,13,0,4.875
23,14,0,5.8
23,15,0,5.454545454545454
23,16,0,5.454545454545454
23,17,0,6.3076923076923075
23,18,0,6.3076923076923075
23,19,1,6.571428571428571
23,20,0,6.6875
23,21,0,6.6875
23,22,0,6.611111111111111
23,23,0,6.368421052631579
23,24,0,6.9
23,25,0,6.9
23,26,0,7.142857142857143
23,27,0,7.681818181818182
23,28,0,7.681818181818182
23,29,0,7.956521739130435
23,30,0,8.5
23,31,1,8.5
23,32,0,8.76923076923077
23,33,0,9.11111111111111
23,34,0,8.928571428571429
24,0,0,0
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,3.0
24,5,0,3.0
24,6,0,3.0
24,7,0,3.6666666666666665
24,8,0,4.5
24,9,0,4.5
24,10,0,5.2
24,11,0,5.833333333333333
24,12,0,5.833333333333333
24,13,0,5.833333333333333
24,14,0,7.25
24,15,0,7.25
24,16,0,7.888888888888889
24,17,0,7.888888888888889
24,18,0,8.5
24,19,0,9.181818181818182
24,20,0,9.181818181818182
24,21,0,9.181818181818182
24,22,0,9.916666666666666
24,23,0,10.615384615384615
24,24,0,11.142857142857142
24,25,0,10.533333333333333
24,26,0,10.588235294117647
24,27,0,10.588235294117647
24,28,0,11.3
24,29,0,11.3
24,30,0,11.956521739130435
24,31,0,11.956521739130435
24,32,0,11.956521739130435
24,33,0,11.956521739130435
24,34,0,13.0
25,0,0,0
25,1,0,0
25,2,0,0
25,3,0,3.0
25,4,0,3.0
25,5,0,3.0
25,6,0,3.0
25,7,0,4.666666666666667
25,8,0,4.666666666666667
25,9,0,5.0
25,10,0,5.8
25,11,0,5.8
25,12,0,6.166666666666667
25,13,0,6.166666666666667
25,14,0,7.0
25,15,0,7.375
25,16,0,7.375
25,17,0,8.222222222222221
25,18,0,8.5
25,19,0,8.5
25,20,0,8.5
25,21,0,9.272727272727273
25,22,0,9.666666666666666
25,23,0,9.666666666666666
25,24,0,10.461538461538462
25,25,0,10.857142857142858
25,26,0,10.857142857142858
25,27,0,11.6
25,28,0,12.0625
25,29,0,12.0625
25,30,0,12.0625
25,31,0,13.333333333333334
25,32,0,12.736842105263158
25,33,0,13.2
25,34,0,13.2
26,0,0,0
26,1,0,0
26,2,0,0
26,3,0,3.0
26,4,0,3.0
26,5,0,3.0
26,6,0,3.75
26,7,0,3.75
26,8,0,3.75
26,9,0,4.2
26,10,0,4.666666666666667
26,11,0,4.666666666666667
26,12,0,5.285714285714286
26,13,0,5.625
26,14,0,5.625
26,15,0,6.111111111111111
26,16,0,6.111111111111111
26,17,0,6.7
26,18,0,7.181818181818182
26,19,0,7.5
26,20,0,7.5
26,21,0,7.5
