episode,completion_rate,reward,avg_latency,v1_completion,v2_completion,jain_index
0,0.44642857142857145,21.199999999999957,9.42,0.49122807017543857,0.4,0.9896306295250951
1,0.38524590163934425,22.199999999999953,9.127659574468085,0.3968253968253968,0.3728813559322034,0.9990332276283308
2,0.46153846153846156,18.999999999999964,7.9375,0.4782608695652174,0.4482758620689655,0.9989537669620531
3,0.4270833333333333,18.199999999999967,10.463414634146341,0.5094339622641509,0.32558139534883723,0.9537628688138173
4,0.4051724137931034,21.599999999999955,9.319148936170214,0.3968253968253968,0.41509433962264153,0.9994939647029163
5,0.41964285714285715,20.999999999999957,9.0,0.4583333333333333,0.390625,0.9936794075847107
6,0.41,18.999999999999964,10.634146341463415,0.37735849056603776,0.44680851063829785,0.9929491525743167
7,0.3619047619047619,18.999999999999964,9.710526315789474,0.3492063492063492,0.38095238095238093,0.9981132075471699
8,0.3445378151260504,21.599999999999955,9.24390243902439,0.36363636363636365,0.32075471698113206,0.9960894973283448
9,0.3761467889908257,20.999999999999957,10.390243902439025,0.39215686274509803,0.3620689655172414,0.9984111229816085
10,0.27927927927927926,20.799999999999958,12.03225806451613,0.2777777777777778,0.2807017543859649,0.999972589222082
11,0.39325842696629215,15.999999999999975,10.428571428571429,0.325,0.4489795918367347,0.9749828202570988
12,0.31958762886597936,17.999999999999968,10.451612903225806,0.3111111111111111,0.3269230769230769,0.9993862137052336
13,0.3469387755102041,18.799999999999965,10.852941176470589,0.32608695652173914,0.36538461538461536,0.9967805310302007
14,0.308411214953271,20.19999999999996,10.636363636363637,0.2857142857142857,0.3275862068965517,0.9953604109808958
15,0.3274336283185841,20.999999999999957,11.567567567567568,0.3333333333333333,0.32075471698113206,0.999630314232902
16,0.4166666666666667,17.19999999999997,10.525,0.3877551020408163,0.44680851063829785,0.9950180198137144
17,0.3142857142857143,19.199999999999964,12.030303030303031,0.3137254901960784,0.3148148148148148,0.9999969963656026
18,0.3063063063063063,19.79999999999996,11.235294117647058,0.3018867924528302,0.3103448275862069,0.9998091796985266
19,0.27927927927927926,20.999999999999957,11.0,0.3333333333333333,0.21568627450980393,0.9560975609756099
20,0.3176470588235294,15.399999999999977,10.74074074074074,0.2558139534883721,0.38095238095238093,0.9628153083629882
21,0.2894736842105263,20.799999999999958,10.333333333333334,0.32142857142857145,0.25862068965517243,0.988411259924613
22,0.32653061224489793,17.59999999999997,9.5,0.3191489361702128,0.3333333333333333,0.9995276334435522
23,0.35714285714285715,21.199999999999957,11.725,0.2926829268292683,0.39436619718309857,0.9785655012603923
24,0.2796610169491525,21.799999999999955,11.666666666666666,0.3448275862068966,0.21666666666666667,0.9504818482899812
25,0.37,18.799999999999965,11.0,0.36538461538461536,0.375,0.9998313659359193
26,0.29411764705882354,18.799999999999965,10.8,0.34545454545454546,0.23404255319148937,0.964355026412279
27,0.2777777777777778,23.799999999999947,11.057142857142857,0.3283582089552239,0.22033898305084745,0.9626901771883551
28,0.26785714285714285,20.59999999999996,11.233333333333333,0.2692307692307692,0.26666666666666666,0.9999771072753079
29,0.27586206896551724,21.199999999999957,12.15625,0.21052631578947367,0.3389830508474576,0.9481848712617942
30,0.3,20.59999999999996,11.909090909090908,0.39655172413793105,0.19230769230769232,0.892615869451035
31,0.36046511627906974,16.399999999999974,10.903225806451612,0.4,0.3170731707317073,0.9868024477121196
32,0.27884615384615385,18.399999999999967,13.655172413793103,0.2830188679245283,0.27450980392156865,0.9997671222383736
33,0.31896551724137934,21.399999999999956,10.54054054054054,0.25,0.375,0.9615384615384616
34,0.32710280373831774,19.79999999999996,13.6,0.3275862068965517,0.32653061224489793,0.9999973957504437
35,0.3106796116504854,18.799999999999965,11.375,0.32786885245901637,0.2857142857142857,0.9953021691219117
36,0.25925925925925924,19.79999999999996,11.857142857142858,0.2857142857142857,0.23076923076923078,0.988809310653536
37,0.308411214953271,19.399999999999963,11.606060606060606,0.36538461538461536,0.2545454545454545,0.969023291486052
38,0.37755102040816324,18.399999999999967,10.108108108108109,0.36538461538461536,0.391304347826087,0.9988280287712229
39,0.24615384615384617,24.999999999999943,12.625,0.2833333333333333,0.21428571428571427,0.9811104622433854
40,0.30097087378640774,19.199999999999964,11.193548387096774,0.35,0.23255813953488372,0.9609459345640537
41,0.2815533980582524,18.399999999999967,11.89655172413793,0.22448979591836735,0.3333333333333333,0.963323782234957
42,0.2923076923076923,24.199999999999946,11.81578947368421,0.3142857142857143,0.26666666666666666,0.9933262146289374
43,0.3211009174311927,20.39999999999996,11.457142857142857,0.26666666666666666,0.359375,0.9785409701941361
44,0.32,18.799999999999965,11.65625,0.3018867924528302,0.3404255319148936,0.9964129135113591
45,0.32967032967032966,16.99999999999997,11.233333333333333,0.36538461538461536,0.28205128205128205,0.9837029893924782
46,0.23008849557522124,20.799999999999958,13.307692307692308,0.2,0.25862068965517243,0.9839247969740794
47,0.3114754098360656,23.19999999999995,10.921052631578947,0.24528301886792453,0.36231884057971014,0.9642251450453356
48,0.2692307692307692,19.79999999999996,10.464285714285714,0.2857142857142857,0.2545454545454545,0.9966826391448581
