episode,completion_rate,reward,avg_latency,v1_completion,v2_completion,jain_index
0,0.56,13.799999999999983,7.095238095238095,0.6060606060606061,0.5238095238095238,0.994728541806606
1,0.5584415584415584,13.799999999999983,7.186046511627907,0.5365853658536586,0.5833333333333334,0.9982606122381878
2,0.5882352941176471,12.199999999999989,7.3,0.5405405405405406,0.6451612903225806,0.992274678111588
3,0.5833333333333334,13.199999999999985,5.928571428571429,0.5588235294117647,0.6052631578947368,0.9984110281707052
4,0.44,14.199999999999982,9.757575757575758,0.4722222222222222,0.41025641025641024,0.9950936351438073
5,0.5131578947368421,14.199999999999982,8.35897435897436,0.5,0.5238095238095238,0.9994594594594594
6,0.5522388059701493,12.199999999999989,8.027027027027026,0.5555555555555556,0.5483870967741935,0.9999578361512839
7,0.4647887323943662,12.799999999999986,7.909090909090909,0.40625,0.5128205128205128,0.9867328984218082
8,0.5769230769230769,10.199999999999996,8.833333333333334,0.6296296296296297,0.52,0.9909882630189648
9,0.45161290322580644,12.199999999999989,9.75,0.48148148148148145,0.42857142857142855,0.9966311817814311
10,0.4927536231884058,12.799999999999986,8.117647058823529,0.47368421052631576,0.5161290322580645,0.9981645394902999
11,0.4266666666666667,13.799999999999983,9.8125,0.4634146341463415,0.38235294117647056,0.9908975556205045
12,0.5,13.399999999999984,9.257142857142858,0.5348837209302325,0.4444444444444444,0.9915439095439924
13,0.37349397590361444,15.199999999999978,8.64516129032258,0.4186046511627907,0.325,0.9844014967245609
14,0.47058823529411764,12.999999999999986,7.375,0.5151515151515151,0.42857142857142855,0.9916534512978884
15,0.3787878787878788,12.999999999999986,12.2,0.4117647058823529,0.34375,0.9919607727993422
16,0.45454545454545453,11.99999999999999,9.666666666666666,0.4,0.5161290322580645,0.9841858648965248
17,0.4025974025974026,14.39999999999998,9.774193548387096,0.4473684210526316,0.358974358974359,0.9881254039272453
18,0.4827586206896552,10.999999999999993,11.0,0.5,0.46153846153846156,0.998402555910543
19,0.3939393939393939,12.199999999999989,9.115384615384615,0.3902439024390244,0.4,0.9998476074367569
20,0.3380281690140845,12.399999999999988,10.5,0.3170731707317073,0.36666666666666664,0.994766540741095
21,0.39436619718309857,13.199999999999985,10.785714285714286,0.40625,0.38461538461538464,0.9992522294640055
22,0.3611111111111111,13.599999999999984,11.807692307692308,0.35,0.375,0.998812351543943
23,0.4117647058823529,12.399999999999988,8.928571428571429,0.38235294117647056,0.4411764705882353,0.9949238578680202
24,0.35714285714285715,13.199999999999985,13.0,0.3333333333333333,0.3783783783783784,0.9960102138525375
