episode,step,total_queue,avg_latency
3,1,0,0
3,2,1,0
3,3,0,2.0
3,4,2,2.0
3,5,0,3.25
3,6,1,3.0
3,7,0,3.1666666666666665
3,8,0,3.875
3,9,0,4.2
3,10,0,3.909090909090909
3,11,1,4.333333333333333
3,12,0,4.5
3,13,2,4.5
3,14,4,4.466666666666667
3,15,6,5.294117647058823
3,16,6,5.222222222222222
3,17,7,5.631578947368421
3,18,6,6.0476190476190474
3,19,7,6.0476190476190474
3,20,0,6.478260869565218
3,21,2,6.916666666666667
3,22,4,7.185185185185185
3,23,7,7.185185185185185
3,24,9,7.517241379310345
3,25,10,7.9
3,26,11,7.838709677419355
3,27,11,8.21875
3,28,10,8.558823529411764
3,29,12,8.714285714285714
3,30,12,9.18918918918919
3,31,12,9.18918918918919
3,32,11,9.794871794871796
3,33,14,9.794871794871796
3,34,14,10.463414634146341
4,0,0,0
4,1,0,0
4,2,0,1.0
4,3,0,2.0
4,4,0,2.3333333333333335
4,5,0,3.0
4,6,0,3.0
4,7,0,3.3
4,8,0,3.1818181818181817
4,9,0,3.4615384615384617
4,10,0,3.4615384615384617
4,11,0,3.857142857142857
4,12,1,3.7333333333333334
4,13,3,4.388888888888889
4,14,3,4.388888888888889
4,15,6,4.368421052631579
4,16,6,4.75
4,17,7,5.181818181818182
4,18,12,5.478260869565218
4,19,14,5.541666666666667
4,20,0,6.038461538461538
4,21,0,6.296296296296297
4,22,1,6.357142857142857
4,23,2,6.206896551724138
4,24,2,6.787878787878788
4,25,3,6.617647058823529
4,26,6,7.27027027027027
4,27,10,7.157894736842105
4,28,17,7.157894736842105
4,29,18,7.425
4,30,19,7.9523809523809526
4,31,20,8.340909090909092
4,32,20,8.340909090909092
4,33,20,8.577777777777778
4,34,20,9.319148936170214
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,3.0
5,4,0,3.0
5,5,0,3.25
5,6,0,3.3333333333333335
5,7,0,3.125
5,8,0,3.9
5,9,0,3.5
5,10,0,3.5
5,11,0,3.8
5,12,0,4.0588235294117645
5,13,3,3.9444444444444446
5,14,3,4.315789473684211
5,15,2,4.666666666666667
5,16,3,5.045454545454546
5,17,3,5.043478260869565
5,18,3,5.416666666666667
5,19,2,5.769230769230769
5,20,0,5.769230769230769
5,21,0,6.25
5,22,6,6.103448275862069
5,23,12,6.59375
5,24,13,6.484848484848484
5,25,7,6.771428571428571
5,26,7,6.675675675675675
5,27,9,7.0
5,28,16,7.375
5,29,17,7.439024390243903
5,30,17,7.761904761904762
5,31,16,7.790697674418604
5,32,16,8.181818181818182
5,33,15,8.244444444444444
5,34,15,9.0
6,0,0,0
6,1,0,1.0
6,2,0,1.5
6,3,0,1.5
6,4,0,2.75
6,5,0,2.75
6,6,0,2.75
6,7,0,3.7142857142857144
6,8,0,3.111111111111111
6,9,0,3.111111111111111
6,10,0,3.8
6,11,0,4.363636363636363
6,12,2,4.363636363636363
6,13,2,4.166666666666667
6,14,4,5.266666666666667
6,15,5,5.266666666666667
6,16,5,5.764705882352941
6,17,4,6.2631578947368425
6,18,5,6.7
6,19,5,6.666666666666667
6,20,0,7.181818181818182
6,21,0,7.666666666666667
6,22,3,7.4
6,23,5,7.703703703703703
6,24,4,8.033333333333333
6,25,6,8.033333333333333
6,26,7,8.03125
6,27,10,8.484848484848484
6,28,9,9.085714285714285
6,29,10,9.085714285714285
6,30,9,9.194444444444445
6,31,9,10.026315789473685
6,32,9,10.128205128205128
6,33,9,10.128205128205128
6,34,8,10.634146341463415
7,0,0,0
7,1,0,0
7,2,0,2.0
7,3,0,2.0
7,4,0,3.3333333333333335
7,5,0,3.0
7,6,0,3.3333333333333335
7,7,0,3.857142857142857
7,8,0,3.857142857142857
7,9,0,4.5
7,10,0,4.5
7,11,0,4.888888888888889
7,12,0,4.888888888888889
7,13,0,5.5
7,14,1,5.5
7,15,0,5.230769230769231
7,16,0,5.714285714285714
7,17,0,6.0625
7,18,0,6.277777777777778
7,19,0,6.277777777777778
7,20,0,6.55
7,21,0,6.7272727272727275
7,22,0,6.7272727272727275
7,23,0,7.041666666666667
7,24,0,7.52
7,25,0,7.269230769230769
7,26,0,7.7407407407407405
7,27,0,8.03448275862069
7,28,0,8.433333333333334
7,29,1,8.225806451612904
7,30,4,8.225806451612904
7,31,4,9.0
7,32,7,9.0
7,33,7,8.885714285714286
7,34,7,9.710526315789474
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,3.5
8,5,0,3.0
8,6,0,3.0
8,7,0,3.3333333333333335
8,8,0,3.857142857142857
8,9,0,3.857142857142857
8,10,0,4.375
8,11,0,5.0
8,12,0,5.0
8,13,1,5.0
