episode,completion_rate,reward,avg_latency,v1_completion,v2_completion,jain_index
0,0.868421052631579,7.200000000000004,4.0606060606060606,0.8888888888888888,0.85,0.9995000918198699
1,0.9142857142857143,6.600000000000003,2.96875,0.8947368421052632,0.9375,0.9994555728082779
2,0.875,5.8000000000000025,3.0714285714285716,0.8125,0.9375,0.9949238578680203
3,0.8421052631578947,7.0000000000000036,3.53125,0.7727272727272727,0.9375,0.9908029133221059
4,0.8235294117647058,6.000000000000003,2.892857142857143,0.7777777777777778,0.875,0.9965517241379309
5,0.8529411764705882,6.400000000000003,4.068965517241379,0.8571428571428571,0.85,0.9999824936101678
6,0.7352941176470589,6.600000000000003,4.68,0.8461538461538461,0.6666666666666666,0.9861189801699717
7,0.918918918918919,7.0000000000000036,2.764705882352941,0.9047619047619048,0.9375,0.9996843055504824
8,0.8055555555555556,7.0000000000000036,5.482758620689655,0.8333333333333334,0.7777777777777778,0.9988123515439429
9,0.8181818181818182,6.000000000000003,3.259259259259259,0.7857142857142857,0.8421052631578947,0.9988013680386117
10,0.8709677419354839,5.8000000000000025,2.925925925925926,0.8333333333333334,0.8947368421052632,0.9987389984044469
11,0.8709677419354839,5.8000000000000025,4.37037037037037,0.8666666666666667,0.875,0.9999771072753079
12,0.575,7.400000000000004,8.347826086956522,0.65,0.5,0.9832713754646837
13,0.9032258064516129,5.8000000000000025,3.5357142857142856,0.8,1.0,0.9878048780487805
14,0.5675675675675675,6.600000000000003,7.095238095238095,0.47368421052631576,0.6666666666666666,0.9721583064887254
15,0.7297297297297297,6.800000000000003,4.962962962962963,0.7142857142857143,0.75,0.9994054696789539
16,0.625,7.200000000000004,5.88,0.6,0.65,0.9984025559105432
17,0.6388888888888888,7.200000000000004,8.043478260869565,0.6470588235294118,0.631578947368421,0.9998534532281326
18,0.78125,6.200000000000003,6.24,0.8571428571428571,0.7222222222222222,0.9927550764602658
19,0.6428571428571429,5.400000000000002,8.222222222222221,0.5882352941176471,0.7272727272727273,0.9889528042881421
20,0.6470588235294118,6.400000000000003,6.409090909090909,0.6875,0.6111111111111112,0.996551724137931
21,0.7037037037037037,5.200000000000002,6.473684210526316,0.6666666666666666,0.7333333333333333,0.997737556561086
22,0.6486486486486487,7.0000000000000036,5.833333333333333,0.5789473684210527,0.7222222222222222,0.9880205163002805
23,0.65625,6.200000000000003,9.523809523809524,0.6666666666666666,0.6470588235294118,0.9997772828507796
24,0.8181818181818182,4.400000000000001,3.5555555555555554,0.8571428571428571,0.8,0.9988123515439428
25,0.6875,6.000000000000003,6.2727272727272725,0.6470588235294118,0.7333333333333333,0.9961089494163424
26,0.6486486486486487,6.800000000000003,9.333333333333334,0.6,0.7058823529411765,0.9934687953555877
27,0.78125,6.200000000000003,4.96,0.7058823529411765,0.8666666666666667,0.9896542386233553
28,0.6666666666666666,7.0000000000000036,7.423076923076923,0.6086956521739131,0.75,0.9892997340762315
29,0.7837837837837838,6.800000000000003,6.793103448275862,0.7619047619047619,0.8125,0.9989683361296542
